,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Hemline,Occasion,Placket,Sleeve Length,Placket Length
236,Roadster,Men Navy Blue &amp; Beige Regular Fit Checked Casual Shirt,Rs. 759,,Regular,Regular Fit,,Other Checks,,,,,12438650,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
237,Nautica,Men Blue Classic Fit Solid Linen Casual Shirt,Rs. 2519,,Regular,Regular Fit,Classic,Solid,,,,,11475248,,Spread Collar,Curved,Casual,,Long Sleeves,
238,Levis,Men Blue Regular Fit Self Checked Linen Casual Shirt With Sunset Pocket,Rs. 2799,,Regular,Regular Fit,,Grid Tattersall Checks,,,,,11166164,,Spread Collar,Straight,Casual,Button Placket,Long Sleeves,
239,Calvin Klein Jeans,Men Blue &amp; White Slim Fit Striped Oxford Casual Shirt,Rs. 2474,,Regular,Slim Fit,,Vertical Stripes,,,,,12313394,,Slim Collar,Curved,Casual,Button Placket,Long Sleeves,
240,Roadster,Men Navy Blue &amp; Maroon Regular Fit Checked Casual Shirt,Rs. 519,,Regular,Regular Fit,,Other Checks,,,,,11440610,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
241,WROGN,Men Navy &amp; White Slim Fit Checked Casual Shirt,Rs. 1259,,Regular,Slim Fit,,Gingham Checks,,,,,1823142,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
242,Roadster,Men Rust Orange &amp; Navy Blue Regular Fit Checked Casual Shirt,Rs. 639,,Regular,Regular Fit,,Tartan Checks,,,,,11686052,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
243,max,Men Blue &amp; Orange Regular Fit Printed Casual Shirt,Rs. 799,,Regular,Regular Fit,,Abstract,,,,,12623082,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
244,GANT,Men Red &amp; White Slim Fit Checked Casual Shirt,Rs. 3499,,Regular,Slim Fit,,Tartan Checks,,,,,12157330,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
245,WROGN,Men White Smart Regular Fit Solid Casual Shirt,Rs. 1039,,Regular,Regular Fit,Smart,Solid,,,,,2338542,,Spread Collar,Curved,Casual,,Long Sleeves,
246,Roadster,Men Grey Slim Fit Solid Casual Shirt,Rs. 649,,Regular,Slim Fit,,Solid,,,,,11326280,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
247,Hancock,Men Black Slim Fit Solid Formal Shirt,Rs. 547,,Regular,Slim Fit,,Solid,,,,,1849875,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
248,HIGHLANDER,Men White and Black Slim Fit Striped Casual Shirt,Rs. 482,,Regular,Slim Fit,,Vertical Stripes,,,,,11899516,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
249,Roadster,Men Blue &amp; Black Regular Fit Checked Casual Shirt,Rs. 584,,Regular,Regular Fit,,Tartan Checks,,,,,11440590,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
