,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Hemline,Occasion,Placket,Sleeve Length,Placket Length
140,Roadster,Men Grey &amp; Black Checked Casual Shirt,Rs. 699,,Regular,Regular Fit,,Buffalo Checks,,,,,9951833,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
141,max,Men Blue &amp; Orange Regular Fit Printed Casual Shirt,Rs. 799,,Regular,Regular Fit,,Abstract,,,,,12623082,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
142,H&amp;M,Men White Solid Easy-iron shirt Slim Fit,Rs. 1299,,Regular,Slim Fit,,Solid,,,,,10364325,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
143,Nautica,Men Sea Green Classic Fit Solid Smart Casual Linen Shirt,Rs. 1649,,Regular,Regular Fit,Classic,Solid,,,,,11475162,,Spread Collar,Curved,Casual,,Short Sleeves,
144,ether,Men Black Regular Fit Anti Microbial Cotton Linen Shirt,Rs. 779,,Regular,Regular Fit,,Solid,,,,,1027238,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
145,WROGN,Men White Slim Fit Solid Casual Shirt,Rs. 1209,,Regular,Slim Fit,,Solid,,,,,10187557,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
146,Moda Rapido,Men Olive Green Slim Fit Printed Casual Shirt with Applique Detail,Rs. 999,,Regular,Slim Fit,,Graphic,,,,,12093514,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
147,Calvin Klein Jeans,Men White &amp; Black Slim Fit Printed Casual Shirt,Rs. 2699,,Regular,Slim Fit,,Geometric,,,,,12313438,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
148,RARE RABBIT,Men Taupe Regular Fit Checked Casual Shirt,Rs. 2799,,Regular,Regular Fit,,Other Checks,,,,,12644698,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
149,GANT,Men Blue Regular Fit Striped Casual Shirt,Rs. 5599,,Regular,Regular Fit,,Vertical Stripes,,,,,12539590,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
150,U.S. Polo Assn.,Men Pink Tailored Fit Solid Casual Shirt,Rs. 999,,Regular,Tailored Fit,,Solid,,,,,12149776,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
151,Roadster,Men Navy Blue Regular Fit Solid Casual Shirt,Rs. 1699,,Regular,Regular Fit,,Solid,,,,,11326350,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
152,Ecko Unltd,Men Blue Slim Fit Solid Denim Casual Shirt,Rs. 559,,Regular,Slim Fit,,Solid,,,,,2473000,,Mandarin Collar,Curved,Casual,Button Placket,Short Sleeves,
153,HIGHLANDER,Men Navy Blue &amp; Red Slim Fit Yarn Dyed Checked Casual Shirt,Rs. 719,,Regular,Slim Fit,,Tartan Checks,,,,,11875174,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
154,U.S. Polo Assn.,Men Blue Tailored Fit Solid Casual Shirt,Rs. 999,,Regular,Regular Fit,,Solid,,,,,12149690,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
155,Roadster,Men Orange Regular Fit Solid Casual Shirt,Rs. 1999,,Regular,Regular Fit,,Solid,,,,,11958020,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
156,GANT,Men Off-White &amp; Blue Regular Fit Printed Casual Shirt,Rs. 2449,,Regular,Regular Fit,,Micro Ditsy,,,,,11950124,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
157,Calvin Klein Jeans,Men Navy Blue &amp; White Slim Fit Checked Casual Shirt,Rs. 2499,,Regular,Slim Fit,,Tartan Checks,,,,,11370852,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
158,GAP,Men Navy Blue Standard Fit Knitted Solid Casual Shirt,Rs. 999,,Regular,Regular Fit,Standard,Solid,,,,,11324148,,Button-Down Collar,Curved,Casual,,Long Sleeves,
159,Mast &amp; Harbour,Men White &amp; Blue Regular Fit Printed Casual Shirt,Rs. 479,,Regular,Regular Fit,,Abstract,,,,,11952216,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
160,max,Men Beige &amp; Blue Regular Fit Printed Casual Shirt,Rs. 799,,Regular,Regular Fit,,Floral,,,,,12644230,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
161,Roadster,Men Olive Green Regular Fit Solid Casual Shirt,Rs. 679,,Regular,Regular Fit,,Solid,,,,,11326036,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
162,max,Men Black &amp; White Slim Fit Floral Printed Semiformal Shirt,Rs. 899,,Regular,Slim Fit,Manhattan,Floral,,,,,12628348,,Spread Collar,Curved,Semiformal,,Long Sleeves,
163,HIGHLANDER,Men White Slim Fit Solid Casual Shirt,Rs. 499,,Regular,Slim Fit,,Solid,,,,,3855091,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
