,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Occasion,Main Trend
68,Global Desi,Women Black Relaxed Embroidered Parallel Trousers,Rs. 449,Mid-Rise,Three-Fourth Length,Regular Fit,Relaxed,Floral,Zip,Flat-Front,Woven,,2461715,,
69,Global Desi,Women Black Parallel Trousers,Rs. 824,Mid-Rise,Regular,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,1791926,,
70,Global Desi,Women Navy Blue Regular Fit Embroidered Cropped Regular Trousers,Rs. 499,Mid-Rise,Cropped,Regular Fit,,Geometric,Hook and Bar,Flat-Front,Woven,Zip,10556682,,
71,Global Desi,Women Red Solid Parallel Trousers,Rs. 539,Mid-Rise,Regular,Regular Fit,,Solid,Hook and Bar,Flat-Front,Woven,Zip,1852099,,
72,Global Desi,Women Blue Comfort Regular Fit Printed Culottes,Rs. 479,Mid-Rise,Three-Fourth Length,Regular Fit,Comfort,Floral,Slip-On,Flat-Front,Woven,,2331856,,
73,Global Desi,Women Red Regular Fit Solid Culottes,Rs. 979,Mid-Rise,Three-Fourth Length,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,6514755,,
74,Global Desi,Women Beige Regular Fit Printed Regular Trousers,Rs. 549,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,7433946,,
75,Global Desi,Women Pink-Coloured Regular Fit Printed Cropped Regular Trousers,Rs. 584,Mid-Rise,Cropped,Regular Fit,,Geometric,Hook and Bar,Flat-Front,Woven,Zip,8791127,,
76,Global Desi,Women Off-White Parallel Trousers,Rs. 844,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Flat-Front,Woven,No Fly,1791931,,
77,Global Desi,Women Black Regular Fit Trousers,Rs. 569,Mid-Rise,Three-Fourth Length,Regular Fit,,Ethnic Motifs,Slip-On,Flat-Front,Woven,No Fly,2160773,,
78,Global Desi,Women Pink Regular Fit Printed Formal Trousers,Rs. 449,Mid-Rise,Regular,Regular Fit,,Ethnic Motifs,Slip-On,Pleated,Woven,Zip,7644006,,
79,Global Desi,Blue Printed Relaxed Fit Palazzo Trousers,Rs. 509,High-Rise,,Loose Fit,Relaxed,Geometric,Slip-On,,,,1369880,Casual,Geometric Print
80,Global Desi,Women Off-White Regular Fit Solid Cropped Regular Trousers,Rs. 799,Mid-Rise,Cropped,Regular Fit,,Floral,Slip-On,Flat-Front,Woven,No Fly,8791139,,
81,Global Desi,Women Blue Slim Fit Printed Regular Trousers,Rs. 374,Mid-Rise,Regular,Straight Fit,,Geometric,Zip,Flat-Front,Woven,No Fly,6823934,,
82,Global Desi,Women Off-White Regular Fit Solid Trousers,Rs. 764,Mid-Rise,Cropped,Regular Fit,,Solid,Button,Flat-Front,Woven,Zip,8791163,,
83,Global Desi,Women Black Solid Regular Fit Flat-Front Trousers,Rs. 779,Mid-Rise,Regular,Regular Fit,,Solid,Zip,Flat-Front,Woven,No Fly,1592841,,
84,Global Desi,Women Beige Relaxed Loose Fit Parallel Trousers,Rs. 419,Mid-Rise,Regular,Loose Fit,Relaxed,Solid,Zip,Flat-Front,Woven,,2094274,,
85,Global Desi,Women Red Regular Fit Printed Parallel Trousers,Rs. 509,Mid-Rise,Regular,Regular Fit,,Geometric,Slip-On,Flat-Front,Woven,No Fly,2225469,,
86,Global Desi,Women Blue Original Solid Parallel Trousers,Rs. 389,Mid-Rise,Regular,Regular Fit,Original,Solid,Zip,Flat-Front,Woven,,6593996,,
87,Global Desi,Women Purple &amp; White Relaxed Straight Leg Straight Fit Printed Parallel Trousers,Rs. 479,Mid-Rise,Regular,Straight Fit,Relaxed Straight Leg,Geometric,Button,Flat-Front,Woven,,2061932,,
88,Global Desi,Women Blue &amp; Red Regular Fit Printed Culottes,Rs. 519,Mid-Rise,Cropped,Regular Fit,,Floral,Zip,Pleated,Woven,Zip,8586219,,
89,Global Desi,Women Off-White Regular Fit Solid Jodhpuris,Rs. 374,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Pleated,Woven,Zip,7088051,,
90,Global Desi,Women Blue Printed Trousers,Rs. 479,Mid-Rise,Cropped,Regular Fit,,Geometric,Slip-On,Flat-Front,Woven,No Fly,10247037,,
91,Global Desi,Cream-Coloured Jodhpuri Trousers,Rs. 449,Mid-Rise,Regular,Regular Fit,,Solid,Slip-On,Pleated,Woven,No Fly,1332238,,
92,Global Desi,Women Pink &amp; Yellow Regular Fit Printed Regular Trousers,Rs. 454,Mid-Rise,Cropped,Regular Fit,,Floral,Slip-On,Flat-Front,Woven,No Fly,8791369,,
