,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fabric,Main Trend,Multipack Set,Neck,Occasion,Pattern,Fabric 2,Number of Pockets,Character,Sleeve Length,Type,Wash Care,Fabric 3,Sustainable
202,Difference of Opinion,Men Navy Blue Printed Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,10005969,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
203,Difference of Opinion,Men Red &amp; Grey Colourblocked Round Neck T-shirt,Rs. 439,,Regular,Regular Fit,,,,,,,7337387,,Cotton,Colourblocked,Single,Round Neck,Casual,Colourblocked,,,,,,,,
204,HRX by Hrithik Roshan,Men Teal Blue Printed Round Neck Active T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,1700757,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,,Elastane,,,,,,,
205,max,Men Yellow Dyed Round Neck T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,12624926,,Cotton,Pocket Detailing,Single,Round Neck,Casual,Dyed,,,,,,,,
206,Calvin Klein Jeans,Men Grey Melange Slim Fit T-shirt With Brand Logo Print Detail,Rs. 1649,,Regular,Slim Fit,,,,,,,12243798,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Solid,,,,,,,,
207,max,Men Black Printed Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,12642928,,Polyester,Typography or Slogan Prints,Single,Round Neck,Casual,,Elastane,,,,,,,
208,max,Men Black Solid Polo Collar T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,12779160,,Polyester,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
209,Roadster,Men Black &amp; Grey Melaneg Striped Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11545426,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
210,U.S. Polo Assn.,Grey Solid Lounge T-Shirt,Rs. 374,,,,,,,,,,2465187,,Cotton,,,V-Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,
211,ether,Men Maroon &amp; Navy Blue Striped Polo Collar T-shirt,Rs. 479,,Regular,Regular Fit,,,Button,,,,11752132,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
212,Roadster,Men Pack of 2 Solid Polo Collar T-Shirts,Rs. 659,,Regular,Regular Fit,,,,,,,12003882,,Cotton,Nautical,2,Polo Collar,Casual,,Polyester,,,,,,,
213,Levis,Men Navy Blue Solid Slim Fit Polo Collar T-shirt,Rs. 989,,Regular,Slim Fit,,,,,,,9909275,,Cotton,Nautical,Single,Polo Collar,Casual,Solid,,,,,,,,
214,Bewakoof,Men Black Printed Round Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,12339226,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
215,Bushirt,Men Khaki Solid Henley Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,12659444,,Cotton,New Basics,Single,Henley Neck,Casual,Solid,,,,,,,,
216,H&amp;M,Men White Solid Round-Neck T-Shirt Slim Fit,Rs. 699,,,,,,,,,,11468750,,Cotton,,,Round Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,
217,U.S. Polo Assn. Denim Co.,Men Maroon Solid Polo Collar T-shirt,Rs. 979,,Regular,Regular Fit,,,,,,,10828972,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
218,Mast &amp; Harbour,Men Blue Solid Henley T-shirt,Rs. 699,,Regular,Regular Fit,,,,,,,1453506,,Cotton,New Basics,Single,Henley Neck,Casual,Solid,,,,,,,,
219,Roadster,Men Grey Melange &amp; White Striped Round Neck T-shirt,Rs. 399,,Regular,Regular Fit,,,,,,,11544752,,Cotton,New Basics,Single,Round Neck,Casual,,Viscose Rayon,,,,,,,
220,max,Men Blue Striped Round Neck T-shirt,Rs. 699,,Regular,Regular Fit,,,,,,,12779234,,Polyester,Abstract,Single,Round Neck,Casual,Striped,,,,,,,,
221,Maniac,Men Navy Blue &amp; Off-White Printed Round Neck T-shirt,Rs. 297,,Regular,Slim Fit,,,,,,,9718639,,Cotton,Multi or Variegated Stripes,Single,Round Neck,Sports,Striped,,,,,,,,
222,Classic Polo,Men Grey And Purple Striped Polo Collar T-shirt,Rs. 959,,Regular,Slim Fit,,,Button,,,,12462920,,Cotton,Multi or Variegated Stripes,Single,Polo Collar,Casual,,,,,,,,,
223,HRX by Hrithik Roshan,Ultralyte Men Yellow Running Regular Fit Tshirt,Rs. 549,,Regular,Regular Fit,,,,,,,10167995,,Polyester,New Basics,Single,Round Neck,Sports,Solid,,,,,,,,
224,Nautica,Men Red Solid Polo Collar T-shirt,Rs. 2599,,Regular,Regular Fit,,,Button,,,,11487350,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
225,RARE RABBIT,Men White &amp; Orange Colourblocked Round Neck T-shirt,Rs. 1499,,Regular,Regular Fit,,,,,,,12721342,,Cotton,Colourblocked,Single,Round Neck,Casual,Colourblocked,,,,,,,,
226,Levis,Men Black Graphic Printed Round Neck T-shirt,Rs. 1299,,Regular,Regular Fit,,,,,,,11165474,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
227,Roadster,Men Blue Placement Printed Round Neck T-shirt,Rs. 279,,Regular,Regular Fit,,,,,,,12251274,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
228,UNDER ARMOUR,Men White &amp; Black Challenger III Solid Training T-Shirt,Rs. 2249,,Regular,Regular Fit,,,,,,,11410026,,Polyester,Monochrome,Single,Round Neck,Sports,Solid,,,,,,,,
229,RARE RABBIT,Men Mustard Yellow Solid Polo Collar T-shirt,Rs. 2499,,Regular,Regular Fit,,,Button,,,,12721320,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
230,Tommy Hilfiger,Men Blue Printed Round Neck T-shirt,Rs. 1299,,Regular,Regular Fit,,,,,,,12281608,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
231,Roadster,Men Grey Solid Round Neck T-shirt with Applique,Rs. 279,,Regular,Regular Fit,,,,,,,12251268,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
232,max,Men White Printed Round Neck T-shirt,Rs. 499,,Regular,Slim Fit,,,,,,,12624836,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
233,Huetrap,Superman Men Black Printed Superman Round Neck T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,11548544,,Cotton,Graphic Print Others,Single,Round Neck,Casual,,,,Superman,,,,,
234,Red Tape,Men White Solid Henley Neck T-shirt,Rs. 482,,Regular,Regular Fit,,,,,,,10510824,,Cotton,New Basics,Single,Henley Neck,Casual,Solid,,,,,,,,
235,Roadster,Men Navy Blue Graphic Printed Round Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,10938526,,Cotton,New Basics,Single,Round Neck,Casual,Printed,,,,,,,,
236,Allen Solly Sport,Men Pink Striped Polo Collar T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,11042226,,Cotton,New Basics,Single,Polo Collar,Casual,,Polyester,,,,,,,
237,Calvin Klein Jeans,Men Black Solid Round Neck T-shirt,Rs. 2699,,Regular,Regular Fit,,,,,,,11370650,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Solid,,,,,,,,
238,Tommy Hilfiger,Men Pink Solid Round Neck Organic Cotton T-shirt,Rs. 1169,,Regular,Regular Fit,,,,,,,12281666,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
239,ether,Men Navy Blue Colorblocked Oxford Polo T-shirt,Rs. 399,,Regular,Regular Fit,,,,,,,1002096,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
240,Moda Rapido,Men White &amp; Black Printed Round Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,10266487,,Cotton,Placement Print,Single,Round Neck,Casual,Printed,,,,,,,,
241,Allen Solly,Men Blue Solid Polo Collar T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,7812519,,Cotton,New Basics,Single,Polo Collar,Casual,,Polyester,,,,,,,
242,Maniac,Men Blue &amp; Teal Green Colourblocked Round Neck T-shirt,Rs. 419,,Regular,Slim Fit,,,,,,,11226634,,Polyester,Colourblocked,Single,Round Neck,Sports,Colourblocked,,,,,,,,
243,max,Men Lime Green Solid Round Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,12779230,,Polyester,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
244,Jack &amp; Jones,Men Green Slim Fit Printed Round Neck T-shirt,Rs. 439,,Regular,Slim Fit,,,,,,,11207114,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
245,HRX by Hrithik Roshan,Hrx By Hrithik Roshan Men Anthra Melange Solid Rapid Dry Seamless Yoga T-shirt,Rs. 809,,Regular,Regular Fit,,,,,,,11567358,,Polyester,New Basics,Single,Round Neck,,,Polyester,,,,,,Elastane,
246,Calvin Klein Jeans,Men Black Printed Slim Fit Round Neck T-shirt,Rs. 1619,,Regular,Slim Fit,,,,,,,11370628,,Cotton,Graphic Print Others,Single,Round Neck,Casual,,Elastane,,,,,,,
247,ether,Unisex White Printed Stripe Round Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,2199703,,Cotton,Monochrome,Single,Round Neck,Casual,Striped,,,,,,,,
248,H&amp;M,Men Black Solid Long Sustainable T-shirt,Rs. 699,,,,,,,,,,10359989,,Cotton,,,Round Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,Sustainable
