,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fabric,Main Trend,Multipack Set,Neck,Occasion,Pattern,Fabric 2,Number of Pockets,Character,Sleeve Length,Type,Wash Care,Fabric 3,Sustainable
103,max,Men Olive Green Solid Henley Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,Button,,,,12779214,,Cotton,New Basics,Single,Henley Neck,Casual,,,,,,,,,
104,Difference of Opinion,Men Grey Melange Striped Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,1669864,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
105,U.S. Polo Assn.,Maroon Solid Lounge T-Shirt,Rs. 374,,,,,,,,,,2465191,,Cotton,,,Round Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,
106,Calvin Klein Jeans,Men Black Solid Round Neck T-shirt,Rs. 1649,,Regular,Slim Fit,,,,,,,12243780,,Cotton,New Basics,Single,Round Neck,Casual,,Elastane,,,,,,,
107,U.S. Polo Assn.,Coral Red Solid Polo T-shirt,Rs. 839,,Regular,Regular Fit,,,,,,,2365516,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
108,Roadster,Men Navy Blue &amp; White Striped Round Neck T-shirt,Rs. 799,,Regular,Regular Fit,,,,,,,11533450,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
109,Maniac,Men White Checked Round Neck T-shirt,Rs. 416,,Regular,Slim Fit,,,,,,,4046711,,Cotton,New Basics,Single,Round Neck,Casual,,Cotton,,,,,,,
110,max,Men Maroon Printed Round Neck T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,12625314,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
111,Roadster,Men Blue Printed Henley Neck T-shirt,Rs. 399,,Regular,Regular Fit,,,Button,,,,11533838,,Cotton,Typography or Slogan Prints,Single,Henley Neck,Casual,,,,,,,,,
112,Roadster,Men Charcoal Grey Printed Round Neck T-shirt,Rs. 279,,Regular,Regular Fit,,,,,,,12251232,,Cotton,Placement Print,Single,Round Neck,Casual,Printed,,,,,,,,
113,PUNK,Men Black Printed Round Neck T-shirt,Rs. 999,,Regular,Regular Fit,,,,,,,12821316,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
114,Calvin Klein Jeans,Men Grey Melange Slim Fit T-shirt With Brand Logo Print Detail,Rs. 1649,,Regular,Slim Fit,,,,,,,12243798,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Solid,,,,,,,,
115,HRX by Hrithik Roshan,Men Red Regular Fit Rapid dry Running T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,8328515,,Polyester,Typography or Slogan Prints,Single,Round Neck,Sports,Printed,,,,,,,,
116,Roadster,Men Maroon Printed T-shirt with Patch Pocket,Rs. 359,,,,,,,,,,414356,,,,,,,,,,,,,,,
117,max,Men Charcoal Grey Self Design Round Neck T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,12642960,,Polyester,New Basics,Single,Round Neck,Casual,Self Design,,,,,,,,
118,Roadster,Men Grey Solid Round Neck T-shirt,Rs. 249,,Regular,Regular Fit,,,,,,,11876060,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
119,Rigo,Navy &amp; White Striped Smart Fit T-shirt,Rs. 399,,Regular,Slim Fit,,,,,,,1484688,,Cotton,Nautical,Single,Round Neck,Casual,Striped,,,,,,,,
120,max,Men White &amp; Black Printed Round Neck T-shirt,Rs. 699,,Regular,Regular Fit,,,,,,,12624810,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
121,Mast &amp; Harbour,Men Blue &amp; White Printed Round Neck T-shirt,Rs. 359,,Regular,Regular Fit,,,,,,,11892978,,Cotton,Conversational Print,Single,Round Neck,Casual,Printed,,,,,,,,
122,Bewakoof,Men Black Printed Round Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,12339226,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
123,Roadster,Men Blue Solid Polo Collar T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,2303686,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
124,DILLINGER,Men Navy Blue Solid Round Neck T-shirt,Rs. 479,,Regular,Regular Fit,,,,,,,11067746,,Cotton,Nautical,Single,Round Neck,Casual,Solid,,,,,,,,
125,PUNK,Men Black Printed Round Neck T-shirt,Rs. 999,,Regular,Regular Fit,,,,,,,12820816,,Cotton,Monochrome,Single,Round Neck,Casual,Printed,,,,,,,,
126,Donald Duck,Men Yellow Printed Round Neck T-shirt,Rs. 292,,Regular,Regular Fit,,,,,,,1439758,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
127,HRX by Hrithik Roshan,Men White Printed Rapid Dry Lightweight Regular Fit Running T-shirt,Rs. 749,,Regular,Regular Fit,,,,,,,10167957,,Polyester,Geometric Print,Single,Round Neck,Sports,Printed,,,,,,,,
128,max,Men Blue Self Design Hood T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,12779294,,Polyester,New Basics,Single,Hood,Casual,Self Design,,,,,,,,
129,Kook N Keech,Men Peach-Coloured Printed Round Neck T-shirt,Rs. 359,,Regular,Regular Fit,,,,,,,2388031,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
130,Calvin Klein Jeans,Men White Solid Round Neck T-shirt With Printed Detailing,Rs. 1484,,Regular,Slim Fit,,,,,,,12318056,,Cotton,New Basics,Single,Round Neck,Casual,,Elastane,,,,,,,
131,max,Men Green &amp; PInk Tropical Printed Round Neck T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,12625300,,Cotton,Tropical,Single,Round Neck,Casual,Printed,,,,,,,,
132,Roadster,Men Rust Orange &amp; White Striped Polo Collar T-shirt,Rs. 399,,Regular,Regular Fit,,,Button,,,,12121348,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
133,Nautica,Men White &amp; Green Striped Polo Collar T-shirt,Rs. 2309,,Regular,Regular Fit,,,Button,,,,11487296,,Cotton,Multi or Variegated Stripes,Single,Polo Collar,Casual,,,,,,,,,
134,HRX by Hrithik Roshan,Men Aegean Blue Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640512,,Cotton,Geometric Print,Single,Round Neck,Sports,,Elastane,,,,,,,
135,Roadster,Men Dusty Pink Solid Polo Collar T-shirt,Rs. 349,,Regular,Regular Fit,,,Button,,,,12123120,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
136,United Colors of Benetton,Men Navy Blue &amp; Mauve Printed Polo Collar T-shirt,Rs. 759,,Regular,Regular Fit,,,,,,,11615098,,Cotton,Geometric Print,Single,Polo Collar,Casual,Printed,,,,,,,,
