,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Lining Fabric,Number of Pockets,Sleeve Length,Type,Hemline,Occasion,Features
80,HRX by Hrithik Roshan,Men Black Solid Sporty Jacket,Rs. 1349,,Regular,,,Solid,Snap Button,,,,1868250,,Spread Collar,Polyester,3,Long Sleeves,Sporty Jacket,,,
81,WROGN,Men Black Solid Biker Jacket,Rs. 2749,,Regular,,,Solid,Zip,,,,11822110,,Mandarin Collar,Polyester,2,Long Sleeves,Biker Jacket,,,
82,Allen Solly,Men Navy Blue &amp; Charcoal Grey Solid Reversible Lightweight Bomber Jacket,Rs. 2099,,Regular,,,Solid,Zip,,,,10646198,,Mock Collar,Polyester,,Long Sleeves,Bomber,,,Reversible
83,HRX by Hrithik Roshan,Men Charcoal Grey Solid Sporty Jacket,Rs. 1124,,Regular,,,Solid,Zip,,,,2170644,,Mock Collar,Fleece,2,Long Sleeves,Sporty Jacket,,,
84,PERFKT-U,Men Black Solid Insulator Padded Jacket,Rs. 1166,,Regular,,,Solid,Zip,,,,12681770,,Mock Collar,Synthetic,,Long Sleeves,Padded Jacket,,,Insulator
85,Roadster,Men Blue &amp; Black Checked Reversible Tailored Jacket,Rs. 1209,,Regular,,,,Zip,,,,1901429,,Mandarin Collar,Unlined,4,Long Sleeves,Tailored Jacket,,,Reversible
86,HERE&amp;NOW,Men Mustard Brown Self-Design Bomber Jacket,Rs. 2649,,Regular,,,Geometric,Zip,,,,12007980,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
87,HRX by Hrithik Roshan,Men Maroon Solid Bomber Jacket,Rs. 1619,,Regular,,,Solid,Zip,,,,4453328,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
88,HIGHLANDER,Men Olive Green Solid Biker Jacket,Rs. 1639,,Regular,,,Solid,Zip,,,,10729268,,Mock Collar,Unlined,4,Long Sleeves,Biker Jacket,,,
89,Van Heusen,Men Navy Blue Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780014,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
90,Roadster,Men Navy Blue Solid Lightweight Jacket,Rs. 779,,Regular,,,Solid,Zip,,,,11966814,,Mock Collar,Unlined,,Long Sleeves,Tailored Jacket,,,Lightweight
91,Mast &amp; Harbour,Men Green Solid Hooded Lightweight Bomber Jacket,Rs. 1169,,Regular,,,Solid,Zip,,,,11973342,,Hooded,Polyester,,Long Sleeves,Bomber,,,Lightweight
92,Campus Sutra,Men Black Solid Denim Jacket Jacket,Rs. 799,,Regular,,,Solid,Button,,,,11140514,,Spread Collar,Cotton,4,Sleeveless,Denim Jacket,,,
93,Roadster,Men Black &amp; Mustard Yellow Colourblocked Hooded Padded Jacket,Rs. 1399,,Regular,,,Colourblocked,Zip,,,,12111496,,Hooded,Polyester,3,Long Sleeves,Padded Jacket,,,
94,Puma,Men Black &amp; White Evostripe dryCELL Colourblocked Track Jacket,Rs. 5499,,Regular,,,Colourblocked,Zip,,,,12335120,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
95,Campus Sutra,Men Black Solid Lightweight Sporty Jacket,Rs. 799,,Regular,,,Colourblocked,Zip,,,,7596960,,Hooded,Polyester,,Long Sleeves,Sporty Jacket,,,Lightweight
96,Allen Solly,Men Khaki &amp; Navy Blue Solid Reversible Jacket,Rs. 2099,,Regular,,,Solid,Zip,,,,10646226,,Mock Collar,Unlined,,Long Sleeves,Bomber,,,Reversible
97,Nike,Men Black &amp; Grey AS M NSW HE VEST WINTER Colourblocked Sporty Jacket,Rs. 2997,,Regular,,,Colourblocked,Zip,,,,10851860,,Mock Collar,Polyester,3,Sleeveless,Sporty Jacket,,,
98,Campus Sutra,Men Blue Colourblocked Windcheater Padded Hooded Jacket,Rs. 1174,,Regular,,,Colourblocked,Zip,,,,12252856,,Hooded,Polyester,,Long Sleeves,Padded Jacket,,,Windcheater
99,Roadster,Men Maroon Solid Padded Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12111506,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
100,Mast &amp; Harbour,Men Mustard Yellow Solid Lightweight Bomber Jacket,Rs. 1239,,Regular,,,Solid,Zip,,,,11972846,,Mock Collar,Polyester,,Long Sleeves,Bomber,,,Lightweight
101,Allen Solly Sport,Wimbledon Men Navy Blue Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10532942,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
102,Mast &amp; Harbour,Men White Solid Lightweight Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,9297555,,Stand Collar,Polyester,,Long Sleeves,Bomber,,,Lightweight
103,Campus Sutra,Men Black Solid Padded Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,10605206,,Mandarin Collar,Cotton,2,Long Sleeves,Sporty Jacket,,,
104,H&amp;M,Men Olive Green Cotton Parka,Rs. 4499,,Regular,,,Solid,Zip,,,,11473856,,Hooded,Cotton,4,Long Sleeves,Parka,,,
105,Roadster,Men Brown Solid Corduroy Jacket,Rs. 1599,,Regular,,,Solid,Zip,,,,12111492,,Spread Collar,Polycotton,4,Long Sleeves,Tailored Jacket,,,
106,Allen Solly,Men Maroon Solid Lightweight Bomber Jacket,Rs. 2379,,Regular,,,Solid,Zip,,,,10646138,,Stand Collar,Polyester,,Long Sleeves,Bomber,,,Lightweight
107,HERE&amp;NOW,Men Grey &amp; Black Colourblocked Puffer Jacket,Rs. 2497,,Regular,,,Solid,Zip,,,,10032475,,Hooded,Polyester,3,Long Sleeves,Puffer Jacket,,,
108,Roadster,Men Navy Packable Hooded Puffer Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,11815672,,Hooded,Nylon,4,Sleeveless,Puffer Jacket,,,
109,Allen Solly,Men Maroon &amp; Grey Solid Reversible Bomber Jacket,Rs. 2099,,Regular,,,Solid,Zip,,,,10646238,,Mock Collar,Unlined,,Long Sleeves,Bomber,,,Reversible
110,Allen Solly Sport,Men Navy Blue Solid Vardity Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656372,,Mock Collar,Polyester,3,Long Sleeves,Varsity Jacket,,,
111,Roadster,Men Navy Blue Solid Bomber,Rs. 1999,,Regular,,,Solid,Zip,,,,1901439,,Mock Collar,Synthetic,4,Long Sleeves,Bomber,,,
112,HRX by Hrithik Roshan,Men Medieval Blue Solid Rapid-Dry Antimicrobial Outdoor Jacket,Rs. 1529,,Regular,,,Solid,Zip,,,,11953002,,Hooded,Unlined,3,Long Sleeves,Sporty Jacket,,,
113,HERE&amp;NOW,Men White Solid Denim Jacket,Rs. 1642,,Regular,,,Solid,Button,,,,10780728,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
114,Roadster,Men Black Solid Denim Jacket,Rs. 1249,,Regular,,,Solid,Button,,,,6411482,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
115,WROGN,Men Beige Solid Bomber,Rs. 2364,,Regular,,,Solid,Zip,,,,6832128,,Mock Collar,Polyester,4,Long Sleeves,Bomber,,,
116,HRX by Hrithik Roshan,Men Black Active Hooded Solid Sporty Jacket,Rs. 2579,,Regular,,,Solid,Zip,,,,9570159,,Hooded,Polyester,4,Long Sleeves,Sporty Jacket,,,
117,Roadster,Men Navy Blue &amp; Red Colourblocked Puffer Jacket,Rs. 1499,,Regular,,,Colourblocked,Zip,,,,9587533,,Mock Collar,Polyester,3,Long Sleeves,Puffer Jacket,,,
118,Allen Solly,Men Navy Blue Solid Tailored Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,10646196,,Mock Collar,Polyester,2,Long Sleeves,Tailored Jacket,,,
119,WROGN,Men Grey Printed Bomber Jacket,Rs. 1799,,Regular,,,Camouflage,Zip,,,,10187185,,Mandarin Collar,Unlined,2,Long Sleeves,Bomber,,,
120,Mast &amp; Harbour,Men Brick Red Solid Hooded Lightweight Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,11973068,,Hooded,Polyester,,Long Sleeves,Bomber,,,Lightweight
121,Roadster,Men Red &amp; Blue Checked Reversible Tailored Jacket,Rs. 1209,,Regular,,,,Zip,,,,1901427,,Mandarin Collar,Unlined,4,Long Sleeves,Tailored Jacket,,,Reversible
122,WROGN,Men Charcoal Grey Slim Fit Solid Padded Jacket,Rs. 2199,,Regular,,,Solid,Zip,,,,10187029,,Mock Collar,Polyester,2,Long Sleeves,Padded Jacket,,,
123,Van Heusen,Men Grey Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780172,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
124,Roadster,Men Olive Green Quilted Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12111494,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
125,Allen Solly Sport,Men Maroon Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656362,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
126,Mast &amp; Harbour,Men Olive Green Printed Bomber Jacket,Rs. 2049,,Regular,,,Abstract,Zip,,,,9297783,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
127,Roadster,Men Burgundy Solid Padded Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,12111268,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
128,Puma,Men Black Ferrari Race Self Design Back Hooded Sweat Jacket,Rs. 5199,,Regular,,,Self Design,Zip,,,,12351256,,Hooded,Unlined,2,Long Sleeves,Sporty Jacket,,,
129,LOCOMOTIVE,Men White Solid Denim Trucker Jacket,Rs. 1219,,Regular,,,Solid,Button,,,,10722892,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
130,Ecko Unltd,Men Solid Denim Jacket,Rs. 1559,,Regular,,,Solid,Snap Button,,,,11002848,,Mock Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
131,Sztori,Plus Size Men Navy Blue Solid Windcheater Tailored Jacket,Rs. 1599,,Regular,,,Solid,Zip,,,,11881394,,Mock Collar,Polyester,,Long Sleeves,Tailored Jacket,,,Windcheater
132,Allen Solly,Men Charcoal Grey Solid Lightweight Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10646242,,Mock Collar,Polyester,,Long Sleeves,Bomber,,,Lightweight
133,Roadster,Men Maroon Solid Padded Jacket,Rs. 1259,,Regular,,,Solid,Zip,,,,10968490,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
134,HERE&amp;NOW,Men Red &amp; Black Colourblocked Padded Jacket,Rs. 1199,,Regular,,,Colourblocked,Zip,,,,12007866,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
135,Allen Solly Sport,Men Olive Brown Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656342,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
136,Blue Saint,Men Maroon Solid Tailored Jacket,Rs. 1444,,Regular,,,Solid,Button,,,,7452865,,Spread Collar,Cotton,2,Long Sleeves,Tailored Jacket,,,
137,HERE&amp;NOW,Men Blue Solid Denim Jacket,Rs. 1372,,Regular,,,Solid,Button,,,,2353047,,Spread Collar,Unlined,6,Long Sleeves,Denim Jacket,,,
138,ether,Men Beige Solid Padded Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,6697883,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
139,Allen Solly,Men Olive Green Solid Padded Jacket,Rs. 1799,,Regular,,,Solid,,,,,10646216,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,Straight,,
140,WROGN,Men Black Solid Bomber,Rs. 1594,,Regular,,,Solid,Zip,,,,6832096,,Mandarin Collar,Unlined,2,Long Sleeves,Bomber,,,
141,ether,Men Green Solid Padded Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,6697879,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
142,HRX by Hrithik Roshan,Men Black/Foggy Grey/Orange Colourblocked Rapid-Dry Antimicrobial Football Jacket,Rs. 1399,,Regular,,,Colourblocked,Zip,,,,11953120,,Mock Collar,Mesh,2,Long Sleeves,Sporty Jacket,,,
143,HERE&amp;NOW,Men Blue Washed Distressed Denim Jacket,Rs. 1372,,Regular,,,Washed,Button,,,,2353046,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
144,HIGHLANDER,Men Black Solid Biker Jacket,Rs. 1639,,Regular,,,Solid,Zip,,,,10773530,,Hooded,Unlined,4,Long Sleeves,Biker Jacket,,,
145,Roadster,Men Black Solid Hooded Quilted Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12111498,,Hooded,Polyester,3,Long Sleeves,Quilted Jacket,,,
146,Campus Sutra,Men Navy Blue Colourblocked Windcheater Jacket,Rs. 758,,Regular,,,Colourblocked,Button,,,,10862126,,Hooded,Cotton,,Long Sleeves,Denim Jacket,,,Windcheater
147,HERE&amp;NOW,Men Black Solid Sporty Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,7201607,,Mock Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
148,Puma,Men Black Solid Sporty Jacket,Rs. 2599,,Regular,,,Solid,Zip,,,,12351444,,Stand Collar,Polyester,,Long Sleeves,Sporty Jacket,Straight,,
149,HERE&amp;NOW,Men Navy Blue Solid Bomber Jacket,Rs. 1124,,Regular,,,Solid,Zip,,,,7201544,,Mock Collar,Polyester,2,Long Sleeves,Bomber,,,
150,WROGN,Men Black Solid Biker Jacket,Rs. 2639,,Regular,,,Solid,Zip,,,,11822098,,Mandarin Collar,Polyester,4,Long Sleeves,Biker Jacket,,,
151,Campus Sutra,Men Blue Solid Windcheater Padded Jacket,Rs. 1999,,Regular,,,,Zip,,,,12609554,,Hooded,Fleece,2,Long Sleeves,Padded Jacket,,,Windcheater
152,WROGN,Men Black Solid Sporty Jacket,Rs. 2749,,Regular,,,Solid,Zip,,,,11822072,,Hooded,Polyester,2,Long Sleeves,Sporty Jacket,,,
153,HRX by Hrithik Roshan,Men Grey &amp; White Colourblocked Hooded Sporty Jacket,Rs. 1479,,Regular,,,Colourblocked,Zip,,,,9297451,,Hooded,Polyester,2,Long Sleeves,Sporty Jacket,,,
154,Wildcraft,Men Teal Blue Colourblocked Jacket,Rs. 1484,,Regular,,,Colourblocked,Zip,,,,10796096,,Mock Collar,Polyester,2,Sleeveless,Padded Jacket,,,
155,HERE&amp;NOW,Men Blue Solid Vest Padded Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12007898,,Mock Collar,Polyester,4,Sleeveless,Padded Jacket,,,
156,Maniac,Men Navy Blue &amp; Grey Colourblocked Bomber,Rs. 615,,Regular,,,Colourblocked,Zip,,,,7289783,,Mandarin Collar,Unlined,2,Long Sleeves,Bomber,,,
157,Van Heusen,Men Grey Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780172,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
158,Roadster,Men Olive Green Solid Padded Jacket With Detachable Hood,Rs. 1519,,Regular,,,Solid,Zip,,,,12111504,,Hooded,Polyester,3,Long Sleeves,Padded Jacket,,,
159,WROGN,Men Maroon Solid Open Front Jacket,Rs. 2364,,Regular,,,Solid,Zip,,,,6832083,,Stand Collar,Polyester,3,Long Sleeves,Open Front Jacket,,,
160,Roadster,Men Black Solid Quilted Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12111514,,Mock Collar,Polyester,3,Long Sleeves,Quilted Jacket,,,
161,plusS,Men Navy Blue Solid Puffer Jacket,Rs. 1711,,Regular,,,Solid,Zip,,,,10985808,,Mock Collar,Polyester,2,Sleeveless,Puffer Jacket,,,
162,WROGN,Men Black Solid Slim Fit Denim Jacket,Rs. 2159,,Regular,,,Solid,Button,,,,12421902,,Spread Collar,Cotton,2,Long Sleeves,Denim Jacket,,,
163,Campus Sutra,Men Blue Colourblocked Bomber,Rs. 799,,Regular,,,Colourblocked,Zip,,,,7539153,,Mandarin Collar,Cotton,2,Long Sleeves,Bomber,,,
164,Roadster,Men Blue &amp; Maroon Checked Reversible Tailored Jacket,Rs. 1209,,Regular,,,,Zip,,,,1901436,,Mandarin Collar,Unlined,4,Long Sleeves,Tailored Jacket,,,Reversible
165,Van Heusen,Men Navy Blue Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780014,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
166,Allen Solly,Men Mustard Yellow &amp; Black Solid Reversible Bomber Jacket,Rs. 1749,,Regular,,,Solid,Zip,,,,10646154,,Mock Collar,Unlined,,Long Sleeves,Bomber,,,Reversible
167,ether,Men Black Solid Bomber Jacket,Rs. 1149,,Regular,,,Solid,Zip,,,,1991229,,Mock Collar,Polyester,2,Long Sleeves,Bomber,,,
168,Allen Solly,Men Black Solid Padded Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,10646132,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
169,Roadster,Men Olive Green Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,9564199,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
170,HRX by Hrithik Roshan,Men Grey Solid Hooded Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,11846958,,Hooded,Polyester,3,Long Sleeves,Bomber,,,
171,HERE&amp;NOW,Men Black Self Design Bomber Jacket,Rs. 2649,,Regular,,,Self Design,Zip,,,,12007888,,Stand Collar,Polyester,2,Long Sleeves,Bomber,,,
172,WROGN,Men Navy Blue Slim Fit Solid Bomber Jacket,Rs. 1924,,Regular,,,Solid,Zip,,,,10187067,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
173,Nike,Men Black &amp; Grey AS M NSW HE VEST WINTER Colourblocked Sporty Jacket,Rs. 2997,,Regular,,,Colourblocked,Zip,,,,10851860,,Mock Collar,Polyester,3,Sleeveless,Sporty Jacket,,,
174,Roadster,Men Black Packable Puffer Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,11815684,,Mock Collar,Nylon,2,Long Sleeves,Puffer Jacket,,,
175,HRX by Hrithik Roshan,Active Men Burgundy Solid Bomber Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,9298165,,Mandarin Collar,Polyester,5,Long Sleeves,Bomber,,,
176,Campus Sutra,Men Blue Solid Varsity Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,6996811,,Stand Collar,Cotton,2,Long Sleeves,Varsity Jacket,,,
177,Allen Solly Sport,Men Charcoal Grey Solid Bomber Jacket,Rs. 1499,,Regular,,,Solid,Zip,,,,10656358,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
178,Roadster,Men Black Solid Lightweight Bomber Jacket,Rs. 1249,,Regular,,,Solid,Zip,,,,10091939,,Stand Collar,Polyester,,Long Sleeves,Bomber,,,Lightweight
179,Mast &amp; Harbour,Men White Solid Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12108250,,Stand Collar,Polyester,2,Long Sleeves,Bomber,,,
180,HIGHLANDER,Men Black Solid Padded Jacket,Rs. 1279,,Regular,,,Solid,Zip,,,,11177252,,Mock Collar,Unlined,2,Long Sleeves,Padded Jacket,,,
181,Crimsoune Club,Men Black Solid Padded Jacket,Rs. 3199,,Regular,,,Solid,Zip,,,,12753250,,Hooded,Polyester,2,Long Sleeves,Padded Jacket,,,
182,Roadster,Men Navy Blue Solid Quilted Jacket with Detachable Hood,Rs. 1349,,Regular,,,Solid,Zip,,,,10968442,,Hooded,Polyester,3,Long Sleeves,Quilted Jacket,,,
183,Puma,Men Black Scuderia Ferrari Race T7 Solid Track Jacket,Rs. 4549,,Regular,,,Solid,Zip,,,,12351372,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
184,Sztori,Plus Size Men Black Solid Padded Jacket,Rs. 1199,,Regular,,,Solid,Zip,,,,11881482,,Mock Collar,Polyester,3,Long Sleeves,Padded Jacket,,,
185,WROGN,Men Black Solid Biker Jacket,Rs. 2529,,Regular,,,Solid,Zip,,,,10187181,,Stand Collar,Polyester,5,Long Sleeves,Biker Jacket,,,
186,Roadster,Men Brown Solid Detachable Hooded Padded Jacket,Rs. 1484,,Regular,,,Solid,Zip,,,,12111478,,Hooded,Polyester,3,Long Sleeves,Padded Jacket,,,
187,Maniac,Men Charcoal Grey Striped Bomber,Rs. 999,,Regular,,,Striped,Zip,,,,7289784,,Mandarin Collar,Unlined,2,Long Sleeves,Bomber,,,
188,Fort Collins,Men Grey Solid Puffer Jacket with Detachable Hood,Rs. 1619,,Regular,,,Solid,Zip,,,,10736658,,Hooded,Polyester,4,Long Sleeves,Puffer Jacket,,,
189,Nike,Men Grey NK DRY HDIE Dri-Fit Solid Sporty Jacket,Rs. 2796,,Regular,,,Solid,Zip,,,,10720582,,Hooded,Polyester,2,Long Sleeves,Sporty Jacket,,,
190,Roadster,Men Burgundy Solid Puffer Jacket,Rs. 2149,,Regular,,,Solid,Zip,,,,9564449,,Mock Collar,Polyester,2,Long Sleeves,Puffer Jacket,,,
191,HERE&amp;NOW,Men Mustard Yellow &amp; Navy Colourblocked Bomber,Rs. 1664,,Regular,,,Colourblocked,Zip,,,,7201559,,Mock Collar,Polyester,2,Long Sleeves,Bomber,,,
192,HRX by Hrithik Roshan,Men Jet Black Solid Rapid-Dry Antimicrobial Running Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,11953072,,Mock Collar,Unlined,,Long Sleeves,Sporty Jacket,Straight,,
193,Blue Saint,Men Black Solid Denim Jacket,Rs. 1444,,Regular,,,Solid,Button,,,,9823447,,Spread Collar,Cotton,4,Long Sleeves,Denim Jacket,,,
194,HERE&amp;NOW,Men Navy Blue Solid Tailored Jacket,Rs. 2204,,Regular,,,Solid,Zip,,,,12007904,,Spread Collar,Polyester,4,Long Sleeves,Tailored Jacket,,,
