,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Lining Fabric,Number of Pockets,Sleeve Length,Type,Hemline,Occasion,Features
227,U.S. Polo Assn.,Men Charcoal Grey Self Design Bomber Jacket,Rs. 2399,,Regular,,,Self Design,Zip,,,,7329534,,Stand Collar,Polyester,4,Long Sleeves,Bomber,,,
228,Roadster,Men Black Solid Hooded Quilted Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,12111386,,Hooded,Polyester,3,Long Sleeves,Quilted Jacket,,,
229,Red Tape,Men Black Solid Jacket,Rs. 1080,,Regular,,,Solid,Zip,,,,10834178,,Hooded,Polyester,2,Long Sleeves,Padded Jacket,,,
230,Flying Machine,Men Brown Solid Bomber Jacket,Rs. 1999,,Regular,,,Solid,Zip,,,,10646844,,Stand Collar,Polyester,,Long Sleeves,Bomber,Straight,,
231,Crimsoune Club,Men Black Solid Padded Jacket,Rs. 3199,,Regular,,,Solid,Zip,,,,12753250,,Hooded,Polyester,2,Long Sleeves,Padded Jacket,,,
232,HRX by Hrithik Roshan,Men Black Solid Sporty Jacket,Rs. 1799,,Regular,,,Solid,Zip,,,,11846966,,Stand Collar,Polyester,2,Long Sleeves,Sporty Jacket,,,
233,Allen Solly Sport,Men Black Hooded Solid Bomber Jacket,Rs. 1749,,Regular,,,Solid,Zip,,,,10656340,,Hooded,Polyester,3,Long Sleeves,Bomber,,,
234,Campus Sutra,Men Black Solid Bomber,Rs. 1999,,Regular,,,Solid,Zip,,,,7219121,,Hooded,Cotton,2,Long Sleeves,Bomber,,,
235,WROGN,Men Olive Green Solid Slim Fit Bomber Jacket,Rs. 2034,,Regular,,,Solid,Zip,,,,10187079,,Mock Collar,Polyester,3,Long Sleeves,Bomber,,,
236,Roadster,Black &amp; Teal Blue Quilted Reversible Jacket,Rs. 1399,,Regular,,,Solid,Zip,,,,1279418,,Stand Collar,Polyester,4,Long Sleeves,Quilted Jacket,,,
237,HRX by Hrithik Roshan,Men Black Solid Rapid-Dry Antimicrobial Outdoor Jacket,Rs. 1529,,Regular,,,Solid,Zip,,,,11953428,,Hooded,Unlined,3,Long Sleeves,Sporty Jacket,,,
238,HERE&amp;NOW,Men Navy Solid Light Weight Sporty Track Jacket,Rs. 1249,,Regular,,,Solid,Zip,,,,7201577,,Mock Collar,Polyester,,Long Sleeves,Sporty Jacket,,,Lightweight
239,Nike,Men Grey NK DRY HDIE Dri-Fit Solid Sporty Jacket,Rs. 2796,,Regular,,,Solid,Zip,,,,10720582,,Hooded,Polyester,2,Long Sleeves,Sporty Jacket,,,
240,Harvard,Men Navy Blue Solid Tailored Jacket,Rs. 1439,,Regular,,,Solid,Zip,,,,2110714,,Mock Collar,Cotton,3,Long Sleeves,Tailored Jacket,,,
241,WROGN,Men Black Self Design Puffer Jacket,Rs. 2089,,Regular,,,Self Design,Zip,,,,12422062,,Hooded,Polyester,2,Long Sleeves,Puffer Jacket,,,
242,Roadster,Men Charcoal Grey Detachable Hood Solid Padded Jacket,Rs. 1484,,Regular,,,Solid,Zip,,,,12111292,,Hooded,Polyester,3,Long Sleeves,Padded Jacket,,,
243,LOCOMOTIVE,Men White Printed Denim Trucker Jacket,Rs. 1199,,Regular,,,Solid,Button,,,,10722902,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
244,HERE&amp;NOW,Men Rust Red &amp; Black Colourblocked Puffer Jacket,Rs. 2272,,Regular,,,Colourblocked,Zip,,,,10032807,,Hooded,Polyester,3,Long Sleeves,Puffer Jacket,,,
245,Roadster,Men Black Solid Lightweight Jacket,Rs. 779,,Regular,,,Solid,Zip,,,,11966728,,Mock Collar,Unlined,,Long Sleeves,Tailored Jacket,,,Lightweight
246,HIGHLANDER,Men Charcoal Grey Camouflage Printed Denim Jacket,Rs. 1359,,Regular,,,Camouflage,Button,,,,11180948,,Spread Collar,Unlined,4,Long Sleeves,Denim Jacket,,,
247,Roadster,Men Maroon Packable Puffer Jacket,Rs. 799,,Regular,,,Solid,Zip,,,,11815668,,Mock Collar,Nylon,2,Long Sleeves,Puffer Jacket,,,
248,HRX by Hrithik Roshan,Men Black Solid Active Bomber Jacket,Rs. 1934,,Regular,,,Solid,Zip,,,,9570133,,Mandarin Collar,Polyester,2,Long Sleeves,Bomber,,,
249,U.S. Polo Assn.,Men Navy Blue Solid Bomber Jacket,Rs. 2999,,Regular,,,Solid,Zip,,,,10285107,,Mandarin Collar,Polyester,2,Long Sleeves,Bomber,,,
