,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Neck,Number of Pockets,Pattern,Sleeve Length,Surface Styling,Type,Occasion,Sustainable,Wash Care
320,Iti,Women Blue Solid Basic Jumpsuit,Rs. 1374,,,,,,Concealed Zip,,,,11701594,Cotton,Shoulder Straps,2,Solid,Sleeveless,Ruffles,Basic Jumpsuit,,,
321,Taurus,Women Cream-Coloured &amp; Blue Printed Basic Jumpsuit,Rs. 1346,,,,,,Concealed Zip,,,,11553802,Viscose Rayon,V-Neck,2,Printed,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
322,FabAlley,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,11466784,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
323,ONLY,Multicoloured Striped Playsuit,Rs. 1349,,,,,,,,,,10274099,Polyester,V-Neck,2,Striped,Short Sleeves,,Playsuit,,,Machine Wash
324,Cottinfab,Women Black Solid Basic Jumpsuit,Rs. 835,,,,,,Button,,,,10961182,Polyester,Boat Neck,2,Solid,Short Sleeves,Gathers,Basic Jumpsuit,,,
325,Globus,Women Blue &amp; Red Printed Basic Jumpsuit,Rs. 849,,,,,,,,,,10724858,Cotton,Round Neck,,Printed,Short Sleeves,,Basic Jumpsuit,,,Hand Wash
326,ONLY,Navy Blue &amp; White Checked Playsuit,Rs. 1199,,,,,,Button,,,,10372631,Cotton,Shirt Collar,2,Checked,Short Sleeves,,Playsuit,,,Machine Wash
327,Kazo,Women Navy Blue Solid  Jumpsuit,Rs. 3490,,,,,,,,,,12697152,Polyester,Shoulder Straps,,Solid,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,Party,Regular,
328,Besiva,Women Pink &amp; White Checked Blazer with Shorts,Rs. 1999,,,,,,,,,,10233461,Cotton,Shawl Neck,,Checked,Long Sleeves,,Two-Piece,,,Machine Wash
329,Everlush,Women Maroon &amp; Mustard Yellow Striped Jumpsuit,Rs. 1999,,,,,,Zip,,,,10375159,Polyester,Shoulder Straps,,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
330,Crimsoune Club,Women Orange Printed Basic Jumpsuit,Rs. 1399,,,,,,Zip,,,,12485540,Cotton,Round Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,,
331,MANGO,Women Blue Solid Pleated Cropped Basic Jumpsuit,Rs. 2333,,,,,,Button,,,,11842458,Polyester,V-Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
332,20Dresses,Women Mustard Yellow Solid Basic Jumpsuit,Rs. 1975,,,,,,Concealed Zip,,,,12290246,Polyester,Sweetheart Neck,2,Solid,Sleeveless,,Basic Jumpsuit,Casual,,
333,Tokyo Talkies,Women Blue &amp; Brown Printed Basic Jumpsuit,Rs. 839,,,,,,Button,,,,11685378,Viscose Rayon,V-Neck,2,Printed,Short Sleeves,Gathers,Basic Jumpsuit,,,
334,INDYA,Women White Printed Two-Piece Jumpsuit,Rs. 1150,,,,,,,,,,12756576,Cotton,V-Neck,2,Printed,Short Sleeves,,Two-Piece,Casual,Regular,
335,Iti,Women Green Solid Basic Jumpsuit,Rs. 1874,,,,,,,,,,11147600,Polyester,Shoulder Straps,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
336,Purple State,Black &amp; Off-White Striped Basic Jumpsuit,Rs. 749,,,,,,Button,,,,9043371,Polyester,Shirt Collar,2,Striped,Long Sleeves,,Basic Jumpsuit,,,Machine Wash
337,Darzi,Women Blue &amp; Pink Printed Basic Jumpsuit,Rs. 659,,,,,,Concealed Zip,,,,11445960,Polyester,Round Neck,2,Printed,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
338,FabAlley,Women Yellow &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,10339121,Polyester,Shoulder Straps,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
339,ONLY,Women Mustard Yellow &amp; White Floral Printed Basic Jumpsuit,Rs. 3499,,,,,,Zip,,,,11702956,Viscose Rayon,Round Neck,2,Printed,Sleeveless,,Basic Jumpsuit,,,Machine Wash
340,WoowZerz,Women Black Solid Basic Jumpsuit,Rs. 1816,,,,,,Concealed Zip,,,,12052830,Polyester,Square Neck,2,Solid,Sleeveless,Ruffles,Basic Jumpsuit,,,
341,THE SILHOUETTE STORE,Black &amp; White Striped Jumpsuit,Rs. 435,,,,,,Concealed Zip,,,,9982661,Polyester,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
342,Ginger by Lifestyle,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1104,,,,,,,,,,11710680,Viscose Rayon,Shoulder Straps,,Striped,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
343,Cottinfab,Women Mustard Yellow Solid Playsuit,Rs. 684,,,,,,Button,,,,10053777,Polyester,Shirt Collar,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Playsuit,,,
344,Iti,Women Teal Green Solid Basic Jumpsuit,Rs. 1749,,,,,,Button,,,,11147594,Polyester,Shirt Collar,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
345,WoowZerz,Women Black Solid Basic Jumpsuit,Rs. 1746,,,,,,Concealed Zip,,,,12052790,Polyester,V-Neck,,Solid,Short Sleeves,,Basic Jumpsuit,,,Hand Wash
346,FabAlley,Women Navy Blue &amp; Maroon Striped Basic Jumpsuit,Rs. 1100,,,,,,Zip,,,,12429946,Polyester,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,Casual,,
347,COVER STORY,Women Brown Striped Culotte Jumpsuit,Rs. 1745,,,,,,Zip,,,,11783198,Polyester,V-Neck,2,Striped,Long Sleeves,Waist Tie-Ups,Culotte Jumpsuit,,,
348,FabAlley,Women Maroon &amp; White Striped Basic Jumpsuit,Rs. 1100,,,,,,,,,,10956962,Polyester,V-Neck,2,Striped,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
