,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Neck,Number of Pockets,Pattern,Sleeve Length,Surface Styling,Type,Occasion,Sustainable,Wash Care
222,FabAlley,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,11466784,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
223,Mayra,Multicoloured White &amp; Pink Striped Jumpsuit,Rs. 698,,,,,,Concealed Zip,,,,10512766,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Dry Clean
224,HERE&amp;NOW,Women Blue &amp; Beige Ethnic Floral Motif Two-Piece Set,Rs. 1999,,,,,,,,,,11739190,Cotton,V-Neck,,Printed,Long Sleeves,Gathers,Two-Piece,Casual,,Machine Wash
225,H&amp;M,Women Black Frill-Trimmed jumpsuit,Rs. 1149,,,,,,,,,,12345718,Cotton,Shoulder Straps,2,Printed,Sleeveless,,Basic Jumpsuit,Casual,,Machine Wash
226,KASSUALLY,Women Green &amp; Black Printed Basic Jumpsuit,Rs. 1819,,,,,,Zip,,,,12752550,Cotton,V-Neck,2,Printed,Short Sleeves,,,Casual,Regular,
227,Uptownie Lite,Women Navy Blue Solid Basic Jumpsuit,Rs. 850,,,,,,Concealed Zip,,,,11449678,Polyester,Round Neck,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
228,Cottinfab,Green Solid Basic Jumpsuit,Rs. 819,,,,,,Concealed Zip,,,,8865427,Polyester,Round Neck,2,Solid,Short Sleeves,Layered,Basic Jumpsuit,,,
229,MAGRE,Women Black Solid Basic Jumpsuit,Rs. 1429,,,,,,,,,,10610616,Polyester,V-Neck,2,Solid,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
230,Crimsoune Club,Women Orange Printed Basic Jumpsuit,Rs. 1399,,,,,,Zip,,,,12485540,Cotton,Round Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,,
231,Cottinfab,Black Solid Cold-Shoulder Jumpsuit,Rs. 799,,,,,,Concealed Zip,,,,7846811,Polyester,Round Neck,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
232,MABISH by Sonal Jain,Women Coffee Brown &amp; Golden Drop Crotch Checked Basic Jumpsuit,Rs. 1374,,,,,,Concealed Zip,,,,10800224,Viscose Rayon,V-Neck,,Checked,Short Sleeves,Gathers,Basic Jumpsuit,,,Dry Clean
233,MABISH by Sonal Jain,Women Green &amp; Golden Dhoti Style Checked Basic Jumpsuit,Rs. 1374,,,,,,Concealed Zip,,,,10800256,Viscose Rayon,V-Neck,,Checked,Short Sleeves,,Basic Jumpsuit,,,Dry Clean
234,Roadster,Women Maroon Solid Playsuit With Henley Neck,Rs. 999,,,,,,Button,,,,10387089,Cotton,Round Neck,,Solid,Short Sleeves,,Playsuit,,,Machine Wash
235,ONLY,Women Off-White &amp; Olive Green Striped Basic Jumpsuit,Rs. 1154,,,,,,Button,,,,10687552,Polyester,Shirt Collar,4,Striped,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
