,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
28,Mast &amp; Harbour,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7330637,Clean Look,No Fade,Dark,Stretchable,With belt loops,
29,WROGN,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2199,Mid-Rise,Regular,Skinny Fit,,,,,,,11560142,Clean Look,No Fade,Medium,Stretchable,With belt loops,
30,RARE RABBIT,Men Grey Slim Fit Mid-Rise Clean Look Jeans,Rs. 2799,Mid-Rise,Regular,Slim Fit,,,,,,,12767860,Clean Look,No Fade,Light,Non Stretchable,With belt loops,
31,Jack &amp; Jones,Men Blue Regular Fit Low-Rise Mildly Distressed Jeans,Rs. 1574,Low-Rise,Regular,Regular Fit,,,,,,,2370193,Mildly Distressed,Light Fade,Dark,Non Stretchable,With belt loops,
32,next,Men Grey Skinny Fit Mid-Rise Clean Look Jeans,Rs. 2280,Mid-Rise,Regular,Skinny Fit,,,,,,,2122401,Clean Look,Light Fade,Light,Non Stretchable,With belt loops,
33,Roadster,Men Blue Skinny Fit Mid-Rise Low Distressed Save Water Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Skinny Fit,,,,,,,11274800,Low Distress,No Fade,Medium,,With belt loops,Cat Scratches
34,RARE RABBIT,Men Brown Slim Fit Mid-Rise Clean Look Jeans,Rs. 2799,Mid-Rise,Regular,Slim Fit,,,,,,,12767864,Clean Look,No Fade,Coloured,Stretchable,With belt loops,
35,HERE&amp;NOW,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 1259,Mid-Rise,Cropped,Skinny Fit,,,,,,,6629404,Clean Look,Light Fade,Light,Stretchable,With belt loops,
36,WROGN,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2399,Mid-Rise,Regular,Skinny Fit,,,,,,,11560206,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
37,Calvin Klein Jeans,Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 9554,Mid-Rise,Regular,Slim Fit,,,,,,,7158555,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
38,LOCOMOTIVE,Men Navy Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,10143657,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
39,Celio,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2249,Mid-Rise,Regular,Tapered Fit,Carrot,,,,,,11704796,Clean Look,No Fade,Dark,,With belt loops,
40,U.S. Polo Assn. Denim Co.,Men Blue Brandon Slim Tapered Fit Mid-Rise Stretchable Jeans,Rs. 2999,Mid-Rise,Regular,Slim Fit,,,,,,,11446578,Clean Look,No Fade,Medium,Stretchable,With belt loops,
41,WROGN,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2399,Mid-Rise,Regular,Skinny Fit,,,,,,,11560168,Clean Look,No Fade,Dark,Stretchable,With belt loops,
42,WROGN,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2199,Mid-Rise,Regular,Skinny Fit,,,,,,,11560196,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
43,HIGHLANDER,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 639,Mid-Rise,Regular,Slim Fit,,,,,,,8237311,Clean Look,No Fade,Light,Stretchable,With belt loops,
