,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
119,Louis Philippe Jeans,Men Blue Slim Fit Low-Rise Mildly Distressed Stretchable Jeans,Rs. 1299,Low-Rise,Regular,Slim Fit,,,,,,,11645814,Mildly Distressed,Light Fade,Light,,With belt loops,Ripped
120,U.S. Polo Assn. Denim Co.,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1749,Mid-Rise,Regular,Slim Fit,,,,,,,2200596,Clean Look,Light Fade,Light,Stretchable,With belt loops,
121,Roadster,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 679,Mid-Rise,Regular,Slim Fit,,,,,,,11274794,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
122,Ecko Unltd,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Ankle Length Jeans,Rs. 749,Mid-Rise,Cropped,Slim Fit,,,,,,,8939761,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
123,Celio,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2249,Mid-Rise,Regular,Tapered Fit,Carrot,,,,,,11704796,Clean Look,No Fade,Dark,,With belt loops,
124,Jack &amp; Jones,Men Blue Tim Slim Fit Mid-Rise Clean Look Jeans,Rs. 1574,Mid-Rise,Regular,Slim Fit,Tim,,,,,,9658237,Clean Look,No Fade,Dark,,With belt loops,
125,Roadster,Men Black Skinny Fit Mid-Rise Mid-Rise Low Distress Stretchable Jeans,Rs. 599,Mid-Rise,Regular,Skinny Fit,,,,,,,9575335,Low Distress,Heavy Fade,Dark,,With belt loops,Ripped
126,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 999,Mid-Rise,Regular,Slim Fit,,,,,,,7605284,Mildly Distressed,Heavy Fade,Medium,,With belt loops,Ripped
127,U.S. Polo Assn. Denim Co.,Men Blue Regular Fit Mid-Rise Clean Look Jeans,Rs. 1539,Mid-Rise,Regular,Regular Fit,,,,,,,2200582,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
128,WROGN,Men Dark Olive Green Slim Fit Mid-Rise Clean Look Jeans,Rs. 1319,Mid-Rise,Regular,Slim Fit,,,,,,,12422252,Clean Look,Light Fade,Dark,Non Stretchable,With belt loops,
129,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Slim Fit,,,,,,,7584937,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
130,Sztori,Plus Size Men Navy Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1124,Mid-Rise,Regular,Slim Fit,,,,,,,9929783,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
131,Jack &amp; Jones,Men Grey Ben Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2699,Low-Rise,Regular,Skinny Fit,Ben,,,,,,9658257,Clean Look,Light Fade,Light,,With belt loops,
132,Levis,Men Blue 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3499,Mid-Rise,Regular,Slim Fit,,,,,,,11165662,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
133,Wrangler,Men Blue Skanders Slim Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1647,Low-Rise,Regular,Slim Fit,Skanders,,,,,,11237726,Clean Look,Heavy Fade,Light,,With belt loops,
134,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1019,Mid-Rise,Regular,Skinny Fit,,,,,,,8903705,Clean Look,Light Fade,Light,Stretchable,With belt loops,
135,U.S. Polo Assn. Denim Co.,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1749,Mid-Rise,Regular,Skinny Fit,,,,,,,2200587,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
136,WROGN,Men Grey Skinny Fit Stretchable Jeans,Rs. 1559,Mid-Rise,Regular,Skinny Fit,,,,,,,1729330,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
137,Roadster,Men Blue Skinny Fit Mid-Rise Stretchable Jeans,Rs. 934,Mid-Rise,Regular,Skinny Fit,,,,,,,9716725,Clean Look,Heavy Fade,Medium,,With belt loops,Ripped
138,Levis,Men Blue 65504 Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3499,Mid-Rise,Regular,Skinny Fit,,,,,,,11165450,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
139,Celio,Men Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1499,Mid-Rise,Regular,Straight Fit,,,,,,,8773977,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
140,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Slim Fit,,,,,,,7605281,Mildly Distressed,Heavy Fade,Light,,With belt loops,Ripped
141,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1039,Mid-Rise,Regular,Slim Fit,,,,,,,11631040,Clean Look,Heavy Fade,Dark,Stretchable,With belt loops,
142,Levis,Men Blue 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3199,Mid-Rise,Regular,Slim Fit,,,,,,,11165276,Clean Look,No Fade,Dark,Stretchable,With belt loops,
143,WROGN,Men Charcoal Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1209,Mid-Rise,Regular,Slim Fit,,,,,,,10187375,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
144,United Colors of Benetton,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1259,Mid-Rise,Regular,Skinny Fit,,,,,,,12521944,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
145,Levis,Men Navy Blue 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 5599,Mid-Rise,Regular,Slim Fit,,,,,,,11165568,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
146,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1039,Mid-Rise,Regular,Slim Fit,,,,,,,11631512,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
147,Celio,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1949,Mid-Rise,Regular,Skinny Fit,,,,,,,11775204,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
148,Roadster,Men Black Side Striped Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 799,Mid-Rise,Regular,Regular Fit,,,,,,,11631106,Clean Look,No Fade,Dark,Stretchable,With belt loops,
149,United Colors of Benetton,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Skinny Fit,,,,,,,11319516,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
150,HERE&amp;NOW,Men Charcoal Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 919,Mid-Rise,Regular,Slim Fit,,,,,,,12184054,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
151,HERE&amp;NOW,Men Black Cropped Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Cropped,Skinny Fit,,,,,,,2463617,Clean Look,No Fade,Dark,Stretchable,With belt loops,
152,Roadster,Men Navy Blue Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 759,Mid-Rise,Regular,Skinny Fit,,,,,,,12303692,Low Distress,Light Fade,Dark,,With belt loops,Cat Scratches
153,Mast &amp; Harbour,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 839,Mid-Rise,Regular,Slim Fit,,,,,,,12116956,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
154,United Colors of Benetton,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Skinny Fit,,,,,,,11319404,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
155,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 824,Mid-Rise,Regular,Skinny Fit,,,,,,,10046839,Clean Look,Light Fade,Light,Stretchable,With belt loops,
156,Mast &amp; Harbour,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 764,Mid-Rise,Cropped,Slim Fit,,,,,,,7330634,Clean Look,Light Fade,Light,Stretchable,With belt loops,
157,Jack &amp; Jones,Men Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,Clark,,,,,,2523260,Clean Look,Light Fade,Dark,,With belt loops,
158,Sztori,Plus Size Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1031,Mid-Rise,Regular,Skinny Fit,,,,,,,9929811,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
159,HERE&amp;NOW,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1149,Mid-Rise,Regular,Slim Fit,,,,,,,11373864,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
160,Roadster,Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 714,Mid-Rise,Regular,Slim Fit,,,,,,,10064497,Clean Look,No Fade,Dark,Stretchable,With belt loops,
161,United Colors of Benetton,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1259,Mid-Rise,Regular,Skinny Fit,,,,,,,12522024,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
162,Roadster,Men Blue Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 679,Mid-Rise,Regular,Skinny Fit,,,,,,,11274416,Low Distress,Light Fade,Medium,,With belt loops,Ripped
163,WROGN,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1429,Mid-Rise,Regular,Skinny Fit,,,,,,,2032838,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
164,Roadster,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 679,Mid-Rise,Regular,Skinny Fit,,,,,,,12303554,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
165,Jack &amp; Jones,Men Blue Regular Fit Low-Rise Mildly Distressed Jeans,Rs. 1574,Low-Rise,Regular,Regular Fit,,,,,,,2370193,Mildly Distressed,Light Fade,Dark,Non Stretchable,With belt loops,
166,Wrangler,Men Blue Vegas Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1922,Low-Rise,Regular,Skinny Fit,Vegas,,,,,,11237584,Clean Look,Heavy Fade,Medium,,With belt loops,
167,Roadster,Men Blue Slim Tapered Fit Mid-Rise Highly Distressed Stretchable Jeans,Rs. 1034,Mid-Rise,Regular,Slim Fit,,,,,,,11631202,Highly Distressed,Heavy Fade,Light,,With belt loops,Ripped
168,Jack &amp; Jones,Men Navy Blue Slim Glenn Fit Low-Rise Clean Look Jeans,Rs. 1399,Low-Rise,Regular,Slim Fit,,,,,,,10368451,Clean Look,No Fade,Medium,Stretchable,With belt loops,
169,WROGN,Men White Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1429,Mid-Rise,Regular,Slim Fit,,,,,,,10187335,Clean Look,No Fade,Light,Stretchable,With belt loops,
170,Roadster,GreenTurn Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Sustainable Jeans,Rs. 679,Mid-Rise,Regular,Skinny Fit,,,,,,,11274602,Clean Look,Light Fade,Light,Stretchable,With belt loops,
171,Roadster,Men Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1099,Mid-Rise,Regular,Skinny Fit,,,,,,,9270763,Mildly Distressed,Light Fade,Dark,,With belt loops,Ripped
172,Sztori,Plus Size Men Navy Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1034,Mid-Rise,Regular,Slim Fit,,,,,,,9929809,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
173,Celio,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2249,Mid-Rise,Regular,Tapered Fit,Carrot,,,,,,11704796,Clean Look,No Fade,Dark,,With belt loops,
174,Roadster,Men Blue Regular Fit Mid-Rise Clean Look Jeans,Rs. 879,Mid-Rise,Regular,Regular Fit,,,,,,,11631078,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
175,Ecko Unltd,Men White Super Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Slim Fit,Super,,,,,,7991721,Clean Look,No Fade,Coloured,,With belt loops,
176,HERE&amp;NOW,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 539,Mid-Rise,Regular,Slim Fit,,,,,,,12242854,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
177,WROGN,Men Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1429,Mid-Rise,Regular,Regular Fit,,,,,,,12422286,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
178,Roadster,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 799,Mid-Rise,Regular,Skinny Fit,,,,,,,5669114,Clean Look,No Fade,Dark,Stretchable,With belt loops,
179,Roadster,Men Blue Regular Fit Mid-Rise Clean Look Jeans,Rs. 879,Mid-Rise,Regular,Regular Fit,,,,,,,11631288,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
180,Ecko Unltd,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Slim Fit,,,,,,,7578990,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
181,Jack &amp; Jones,Men Grey Ben Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2699,Low-Rise,Regular,Skinny Fit,Ben,,,,,,9658257,Clean Look,Light Fade,Light,,With belt loops,
182,Roadster,Men Navy Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Slim Fit,,,,,,,10046863,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
183,Roadster,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 584,Mid-Rise,Regular,Slim Fit,,,,,,,12303684,Clean Look,No Fade,Medium,Stretchable,With belt loops,
184,Roadster,Men Grey Side Striped Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 799,Mid-Rise,Regular,Regular Fit,,,,,,,11631184,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
185,Ecko Unltd,Men Grey Tapered Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Tapered Fit,,,,,,,9390089,Mildly Distressed,Light Fade,Light,,With belt loops,Ripped
186,WROGN,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1539,Mid-Rise,Regular,Slim Fit,,,,,,,12422318,Clean Look,No Fade,Dark,Stretchable,With belt loops,
187,United Colors of Benetton,Men Navy Blue Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 1799,Mid-Rise,Regular,Skinny Fit,,,,,,,12521938,Low Distress,Light Fade,Dark,,With belt loops,Cat Scratches
188,Ecko Unltd,Men Navy Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Slim Fit,,,,,,,9896375,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
189,Celio,Men Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1499,Mid-Rise,Regular,Straight Fit,,,,,,,8773977,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
190,Roadster,Men Blue Regular Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1034,Mid-Rise,Regular,Regular Fit,,,,,,,11631450,Mildly Distressed,Light Fade,Dark,,With belt loops,Cat Scratches
191,Red Tape,Men White Skinny Fit Mid-Rise Clean Look Jeans,Rs. 1203,Mid-Rise,Regular,Skinny Fit,,,,,,,11762174,Clean Look,No Fade,Light,Stretchable,With belt loops,
192,LOCOMOTIVE,Men Blue Tapered Fit Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,11315444,Mildly Distressed,Heavy Fade,Medium,Stretchable,With belt loops,
193,WROGN,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1319,Mid-Rise,Regular,Skinny Fit,,,,,,,8673315,Clean Look,No Fade,Dark,Stretchable,With belt loops,
194,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Skinny Fit,,,,,,,10764126,Clean Look,Light Fade,Light,Stretchable,With belt loops,
195,Louis Philippe Jeans,Men Grey Slim Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1649,Low-Rise,Regular,Slim Fit,,,,,,,11645798,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
196,Roadster,Men Black Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 999,Mid-Rise,Regular,Regular Fit,,,,,,,8903681,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
197,Celio,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1949,Mid-Rise,Regular,Skinny Fit,,,,,,,11775204,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
198,Marks &amp; Spencer,Men Black Slim Fit Clean Look Stretchable Jeans,Rs. 1199,Mid-Rise,Regular,Slim Fit,,,,,,,10496800,Clean Look,No Fade,Dark,Stretchable,With belt loops,
199,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Skinny Fit,,,,,,,8962357,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
200,Flying Machine,Men Black Jackson Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1679,Low-Rise,Regular,Skinny Fit,Jackson,,,,,,11234250,Clean Look,No Fade,Dark,,With belt loops,
201,Jack &amp; Jones,Men Navy Blue Anti Regular Fit High-Rise Jeans,Rs. 1749,High-Rise,Regular,Regular Fit,,,,,,,1945630,Clean Look,No Fade,Dark,Non Stretchable,With belt loops,
202,ether,Men Blue Carrot Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1036,Mid-Rise,Cropped,Slim Fit,Carrot,,,,,,12546922,Clean Look,Heavy Fade,Dark,,With belt loops,
203,Mast &amp; Harbour,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 764,Mid-Rise,Regular,Skinny Fit,,,,,,,7255260,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
204,Roadster,Men Black Biker Regular Fit Mid-Rise Clean Look Jeans,Rs. 1749,Mid-Rise,Regular,Regular Fit,,,,,,,11117142,Clean Look,No Fade,Dark,Stretchable,With belt loops,
205,Mast &amp; Harbour,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7255201,Clean Look,No Fade,Light,Stretchable,With belt loops,
206,Roadster,Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 849,Mid-Rise,Cropped,Super Skinny Fit,,,,,,,10046847,Low Distress,Light Fade,Medium,,With belt loops,Cat Scratches
207,Jack &amp; Jones,Men Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,Clark,,,,,,2523260,Clean Look,Light Fade,Dark,,With belt loops,
208,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,8903747,Clean Look,Light Fade,Light,Stretchable,With belt loops,
209,GAP,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1799,Mid-Rise,Regular,Skinny Fit,,,,,,,10414592,Clean Look,No Fade,Dark,Stretchable,With belt loops,
210,ether,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 714,Mid-Rise,Regular,Slim Fit,,,,,,,12396222,Clean Look,No Fade,Dark,Stretchable,With belt loops,
211,Roadster,Men Blue Jogger Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 999,Mid-Rise,Regular,Jogger,,,,,,,11216376,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
212,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 649,Mid-Rise,Regular,Slim Fit,,,,,,,10046851,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
213,LOCOMOTIVE,Men White Slim Fit Mid-Rise Slash Knee Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Slim Fit,,,,,,,8064723,Slash Knee,No Fade,Light,,With belt loops,Ripped
214,Ecko Unltd,Men Blue Tapered Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 1154,Mid-Rise,Regular,Tapered Fit,,,,,,,12031434,Low Distress,Light Fade,Light,,With belt loops,Cat Scratches
215,Jack &amp; Jones,Men Blue Regular Fit Low-Rise Mildly Distressed Jeans,Rs. 1574,Low-Rise,Regular,Regular Fit,,,,,,,2370193,Mildly Distressed,Light Fade,Dark,Non Stretchable,With belt loops,
216,Sztori,Plus Size Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1031,Mid-Rise,Regular,Slim Fit,,,,,,,9656481,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
217,LOCOMOTIVE,Men Grey Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,11889146,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
218,Roadster,Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Super Skinny Fit,,,,,,,10092089,Low Distress,Light Fade,Medium,,With belt loops,Cat Scratches
219,Roadster,Men Blue Skinny Fit Mid-Rise Acid Wash Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,10064483,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
220,HERE&amp;NOW,Men Charcoal Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1264,Mid-Rise,Regular,Skinny Fit,,,,,,,12184028,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
221,Roadster,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Skinny Fit,,,,,,,9716369,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
222,SPYKAR,Men Blue Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1239,Low-Rise,Regular,Skinny Fit,,,,,,,10929012,Clean Look,Light Fade,Light,Stretchable,With belt loops,
223,Celio,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2249,Mid-Rise,Regular,Tapered Fit,Carrot,,,,,,11704796,Clean Look,No Fade,Dark,,With belt loops,
224,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Slim Fit,,,,,,,7584909,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
225,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1039,Mid-Rise,Regular,Slim Fit,,,,,,,11630968,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
226,Louis Philippe Jeans,Men Blue Slim Fit Low-Rise Clean Look Stretchable Jeans,Rs. 1499,Low-Rise,Regular,Slim Fit,,,,,,,11645784,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
227,Roadster,Men Blue Skinny Fit Fit Mid-Rise Low Distress Stretchable Jeans with Side Stripes,Rs. 989,Mid-Rise,Regular,Skinny Fit,,,,,,,11216412,Low Distress,Light Fade,Dark,,With belt loops,Cat Scratches
228,WROGN,Men Grey Skinny Fit Mid-Rise Clean Look Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12422230,Clean Look,Light Fade,Light,Stretchable,With belt loops,
229,Louis Philippe Jeans,Men Navy Blue Slim Fit Matt Low-Rise Clean Look Stretchable Jeans,Rs. 1799,Low-Rise,Regular,Slim Fit,,,,,,,11645792,Clean Look,No Fade,Dark,Stretchable,With belt loops,
230,Roadster,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 759,Mid-Rise,Regular,Skinny Fit,,,,,,,11691154,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
231,Jack &amp; Jones,Men Grey Ben Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2699,Low-Rise,Regular,Skinny Fit,Ben,,,,,,9658257,Clean Look,Light Fade,Light,,With belt loops,
232,Campus Sutra,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 859,Mid-Rise,Regular,Slim Fit,,,,,,,8375993,Clean Look,No Fade,Dark,Stretchable,With belt loops,
233,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 799,Mid-Rise,Cropped,Tapered Fit,,,,,,,12304420,Clean Look,No Fade,Dark,Stretchable,With belt loops,
234,max,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 839,Mid-Rise,Regular,Slim Fit,,,,,,,12704678,Clean Look,No Fade,Dark,Stretchable,With belt loops,
235,LOCOMOTIVE,Men Grey Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,10646514,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
236,Roadster,Men Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1149,Mid-Rise,Regular,Skinny Fit,,,,,,,9064779,Mildly Distressed,Heavy Fade,Medium,,With belt loops,Ripped
237,GAP,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1799,Mid-Rise,Regular,Skinny Fit,,,,,,,10414594,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
238,HERE&amp;NOW,Men Blue Cropped Slim Fit Mid-Rise Stretchable Jeans,Rs. 919,Mid-Rise,Regular,Slim Fit,,,,,,,1983375,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
239,Celio,Men Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1499,Mid-Rise,Regular,Straight Fit,,,,,,,8773977,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
240,Sztori,Plus Size Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Regular,Slim Fit,,,,,,,9929805,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
241,Roadster,Men Blue Slim Tapered Fit Mid-Rise Clean Look Jeans,Rs. 1039,Mid-Rise,Regular,Slim Fit,,,,,,,11631484,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
242,Sztori,Plus Size Men Charcoal Grey Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1199,Mid-Rise,Regular,Slim Fit,,,,,,,11196890,Clean Look,No Fade,Dark,Stretchable,With belt loops,
243,Louis Philippe Jeans,Men Grey Matt Slim Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2099,Low-Rise,Regular,Slim Fit,,,,,,,11335442,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
244,Mast &amp; Harbour,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 764,Mid-Rise,Regular,Skinny Fit,,,,,,,7330639,Clean Look,No Fade,Light,Stretchable,With belt loops,
