,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
28,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 454,Mid-Rise,Cropped,Skinny Fit,,,,,,,10967572,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
29,SASSAFRAS,Women Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1099,Mid-Rise,Regular,Regular Fit,,,,,,,12221882,Clean Look,No Fade,Medium,Stretchable,Elasticated,
30,DOROTHY PERKINS,Women Navy Blue Alex Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2154,Mid-Rise,Regular,Skinny Fit,,,,,,,12666264,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
31,Deal Jeans,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Skinny Fit,,,,,,,2426934,Clean Look,Light Fade,Light,Stretchable,With belt loops,
32,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 479,Mid-Rise,Cropped,Skinny Fit,,,,,,,11226426,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
33,max,Women Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Cropped,Slim Fit,,,,,,,12705132,Clean Look,No Fade,Light,Stretchable,With belt loops,
34,Tokyo Talkies,Women Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 664,Mid-Rise,Cropped,Super Skinny Fit,,,,,,,8002223,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
35,DOLCE CRUDO,Women Black Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 939,High-Rise,Regular,Skinny Fit,,,,,,,10942732,Clean Look,No Fade,Dark,Stretchable,With belt loops,
36,High Star,Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 782,High-Rise,Cropped,Slim Fit,,,,,,,7243714,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
37,Roadster,Women Black Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 719,High-Rise,Cropped,Skinny Fit,,,,,,,7139216,Clean Look,No Fade,Dark,Stretchable,With belt loops,
38,DOLCE CRUDO,Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 989,High-Rise,Regular,Skinny Fit,,,,,,,10667036,Clean Look,No Fade,Medium,Stretchable,With belt loops,
39,Deal Jeans,Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 1497,High-Rise,Regular,Slim Fit,,,,,,,5420287,Clean Look,Light Fade,Light,Stretchable,With belt loops,
40,SASSAFRAS,Women Blue Regular Fit Mid-Rise Pleated Clean Look Stretchable Slouchy Jeans,Rs. 1099,Mid-Rise,Regular,Regular Fit,,,,,,,12222062,Clean Look,No Fade,Medium,Stretchable,With belt loops,
41,Miss Chase,Women Navy Blue Skinny Fit High-Rise Clean Look Jeans,Rs. 989,High-Rise,Cropped,Skinny Fit,,,,,,,10196237,Clean Look,No Fade,Dark,Stretchable,With belt loops,
42,max,Women Blue Skinny Fit Mid-Rise Mildly Distressed Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12705184,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
43,Scotch &amp; Soda,Women Blue La Bohemienne Skinny Fit Mid-Rise Clean Look Cropped Jeans,Rs. 7794,Mid-Rise,Cropped,Skinny Fit,,,,,,,8960913,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
44,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 449,Mid-Rise,Cropped,Skinny Fit,,,,,,,10967550,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
45,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 719,Mid-Rise,Regular,Skinny Fit,,,,,,,11688498,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
46,Roadster,Women Black Skinny Fit Mid-Rise Mildly Distressed Stretchable Crop Jeans,Rs. 629,Mid-Rise,Cropped,Skinny Fit,,,,,,,11226254,Mildly Distressed,Light Fade,Dark,,With belt loops,Ripped
47,Deal Jeans,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Skinny Fit,,,,,,,5420361,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
48,SASSAFRAS,Women Blue Straight Fit Mid-Rise Clean Look Cropped Acid wash Jeans,Rs. 664,Mid-Rise,Cropped,Straight Fit,,,,,,,10604514,Clean Look,Light Fade,Medium,Non Stretchable,Without belt loops,
49,HERE&amp;NOW,Women Black Bootcut Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Bootcut,,,,,,,9045951,Clean Look,No Fade,Dark,Stretchable,With belt loops,
50,Tokyo Talkies,Women Black Super Skinny Fit Mid-Rise Clean Look Jeans,Rs. 542,Mid-Rise,Cropped,Super Skinny Fit,,,,,,,10641970,Clean Look,No Fade,Dark,Stretchable,With belt loops,
51,Roadster,Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 849,High-Rise,Regular,Skinny Fit,,,,,,,8810395,Clean Look,No Fade,Medium,Stretchable,With belt loops,
52,ONLY,Women Blue Piper Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 1664,High-Rise,Regular,Skinny Fit,,,,,,,11492726,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
53,High Star,Women Black Slim Fit High-Rise Clean Look Jeans,Rs. 779,High-Rise,Regular,Slim Fit,,,,,,,4446473,Clean Look,No Fade,Dark,Stretchable,With belt loops,
54,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 549,Mid-Rise,Regular,Skinny Fit,,,,,,,11581984,Clean Look,No Fade,Dark,Stretchable,With belt loops,
55,Tokyo Talkies,Women White Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 664,Mid-Rise,Cropped,Super Skinny Fit,,,,,,,8195049,Clean Look,No Fade,Light,Stretchable,With belt loops,
56,max,Women Blue Skinny Fit Mid-Rise Mildly Distressed Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12705184,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
57,Marks &amp; Spencer,Women Blue Boyfriend Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 3999,Mid-Rise,Regular,Boyfriend Fit,,,,,,,12378022,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
58,Scotch &amp; Soda,Women Blue Haut Skinny Fit High-Rise Mildly Distressed Stretchable Jeans,Rs. 7794,High-Rise,Regular,Skinny Fit,,,,,,,8960911,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
59,ether,Women White Boyfriend Fit Stretchable Jeans,Rs. 764,Mid-Rise,Regular,Boyfriend Fit,,,,,,,1734522,Clean Look,No Fade,Light,Stretchable,With belt loops,
60,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Side Striped Cropped Jeans,Rs. 664,Mid-Rise,Cropped,Skinny Fit,,,,,,,12564354,Clean Look,No Fade,Medium,Stretchable,With belt loops,
61,Roadster,Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 479,Mid-Rise,Regular,Skinny Fit,,,,,,,11531506,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
