,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Fabric 2,Fabric 3,Main Trend,Multipack Set,Neck,Occasion,Sleeve Length,Sleeve Styling,Surface Styling,Transparency,Type,Fabric Type,Pattern,Collar,Hemline,Placket,Lining,Character,Number of Pockets,Wash Care
337,ether,Unisex White Striped Round Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,2199698,Cotton,,,New Basics,Single,Round Neck,Casual,,,,,,,Striped,,,,,,,
338,plusS,Women Black Printed Top,Rs. 449,,Regular,,,Polka Dots,,,,,8915439,,,,Geometric Print,,Round Neck,,Long Sleeves,Bell Sleeves,,Opaque,Regular,,,,,,,,,
339,Cation,Women Navy Blue Solid Shirt Style Top,Rs. 1499,,Regular,,,Solid,Button,,,,10220891,,,,,,Shirt Collar,,Long Sleeves,Bell Sleeves,,Opaque,Shirt Style,,,,,,,,,
340,STREET 9,Women Black Embellished Peplum Top,Rs. 749,,,,,Embellished,Concealed Zip,,,,7287258,,,,,,V-Neck,,Short Sleeves,Flared Sleeves,Sequinned,Opaque,Peplum,,,,,,,,,
341,DOROTHY PERKINS,Women Red Solid Top,Rs. 537,,Regular,,,Solid,,,,,9349363,,,,,,Square Neck,,Short Sleeves,Cold-Shoulder Sleeves,Ruffles,Opaque,Regular,,,,,,,,,
342,Nayo,Magenta &amp; Orange Printed Tunic,Rs. 649,,,,,,,,,,8034961,Cotton,,,Geometric Print,,V-Neck,Ethnic,Three-Quarter Sleeves,,Gathers,,,,Printed,,,,,,,
343,her by invictus,Women Black &amp; White Striped Top,Rs. 349,,Regular,,,Horizontal Stripes,,,,,11735686,,,,Monochrome,,Round Neck,,Short Sleeves,Extended Sleeves,,Opaque,Regular,,,,,,,,,
344,Everlush,Women Purple Self Design Crop Top,Rs. 799,,Crop,,,Solid,,,,,12710882,,,,,,Shoulder Straps,,Sleeveless,Shoulder Straps,,Opaque,Regular,Cotton,,,,,,,,
345,Mayra,Women Black Solid Crop Top,Rs. 358,,Crop,,,Solid,,,,,4441317,,,,New Basics,,Round Neck,,Sleeveless,No Sleeves,,Opaque,Regular,,,,,,,,,
346,plusS,Women Pink Solid Top,Rs. 449,,,,,Solid,Button,,,,8906455,,,,,,Round Neck,,Short Sleeves,Regular Sleeves,Studded,Opaque,Regular,,,,,,,,,
347,Kazo,Women Black Printed Top,Rs. 1490,,Regular,,,Floral,,,,,12809788,,,,Floral Print,,Halter Neck,,Sleeveless,No Sleeves,,Opaque,Regular,,,,,,,,,
348,DOROTHY PERKINS,Petite Women Olive Green Solid Round Neck T-shirt,Rs. 693,,Regular,Regular Fit,,,,,,,12311092,Cotton,,,Utility or Military Inspired,Single,Round Neck,Casual,,,,,,,Solid,,,,,,,
